num_replicates,num_spots,avg over iters,iter 1,iter 2,iter 3,iter 4,iter 5,iter 6,iter 7,iter 8,iter 9,iter 10
,225,0.275,0.26,0.23,0.25,0.35,0.27,0.24,0.4,0.25,0.25,0.25
18,50,0.048,0.06,0.04,0.06,0.04,0.04,0.06,0.04,0.04,0.04,0.06
,75,0.034,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.04
,100,0.136,0.25,0.11,0.23,0.19,0.09,0.11,0.09,0.11,0.09,0.09
,125,0.099,0.09,0.1,0.11,0.11,0.1,0.09,0.1,0.09,0.1,0.1
,150,0.144,0.13,0.16,0.13,0.17,0.15,0.13,0.14,0.13,0.13,0.17
,175,0.143,0.16,0.14,0.16,0.15,0.13,0.12,0.15,0.14,0.15,0.13
,200,0.215,0.2,0.22,0.22,0.19,0.22,0.21,0.24,0.22,0.19,0.24
,225,0.255,0.24,0.24,0.27,0.24,0.27,0.25,0.28,0.29,0.24,0.23
19,50,0.046,0.04,0.04,0.04,0.06,0.04,0.06,0.04,0.04,0.04,0.06
,75,0.032,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03
,100,0.153,0.1,0.11,0.31,0.09,0.08,0.09,0.09,0.09,0.31,0.26
,125,0.102,0.12,0.1,0.11,0.09,0.1,0.11,0.1,0.1,0.1,0.09
,150,0.131,0.16,0.14,0.13,0.13,0.13,0.12,0.15,0.12,0.11,0.12
,175,0.146,0.15,0.15,0.14,0.14,0.15,0.14,0.15,0.14,0.15,0.15
,200,0.207,0.25,0.18,0.21,0.24,0.2,0.19,0.19,0.19,0.22,0.2
,225,0.237,0.26,0.24,0.21,0.29,0.25,0.21,0.28,0.22,0.2,0.21
20,50,0.046,0.04,0.04,0.06,0.04,0.04,0.04,0.06,0.06,0.04,0.04
,75,0.031,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03
,100,0.108,0.09,0.09,0.09,0.09,0.23,0.1,0.09,0.1,0.11,0.09
,125,0.097,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.08
,150,0.122,0.14,0.13,0.12,0.12,0.11,0.13,0.12,0.11,0.11,0.13
,175,0.139,0.14,0.15,0.14,0.13,0.14,0.15,0.13,0.14,0.13,0.14
,200,0.189,0.17,0.19,0.18,0.21,0.2,0.19,0.19,0.19,0.18,0.19
,225,0.229,0.2,0.27,0.24,0.24,0.22,0.28,0.2,0.22,0.22,0.2
21,50,0.048,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.08,0.06,0.04
,75,0.031,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03
,100,0.127,0.09,0.09,0.09,0.09,0.1,0.24,0.1,0.09,0.29,0.09
,125,0.098,0.11,0.09,0.11,0.09,0.1,0.1,0.09,0.1,0.09,0.1
,150,0.122,0.13,0.13,0.11,0.12,0.11,0.13,0.11,0.12,0.13,0.13
,175,0.136,0.14,0.13,0.12,0.15,0.14,0.13,0.14,0.14,0.13,0.14
,200,0.19,0.21,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.19
,225,0.215,0.22,0.24,0.21,0.2,0.22,0.22,0.2,0.2,0.2,0.24
22,50,0.048,0.06,0.04,0.04,0.06,0.04,0.06,0.04,0.04,0.04,0.06
,75,0.031,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03
,100,0.099,0.2,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.09
,125,0.094,0.1,0.1,0.1,0.09,0.1,0.08,0.1,0.1,0.09,0.08
,150,0.113,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11
,175,0.137,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.15,0.14,0.14
,200,0.186,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.19
,225,0.213,0.22,0.21,0.22,0.2,0.23,0.2,0.2,0.2,0.22,0.23
23,50,0.042,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04
,75,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
,100,0.105,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.23,0.09
,125,0.093,0.1,0.09,0.1,0.1,0.08,0.1,0.08,0.1,0.1,0.08
,150,0.116,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11
,175,0.133,0.12,0.14,0.13,0.13,0.13,0.15,0.14,0.13,0.13,0.13
,200,0.175,0.18,0.17,0.17,0.18,0.16,0.18,0.17,0.19,0.18,0.17
,225,0.205,0.21,0.19,0.2,0.2,0.2,0.25,0.19,0.19,0.21,0.21
24,50,0.044,0.04,0.04,0.06,0.04,0.06,0.04,0.04,0.04,0.04,0.04
,75,0.032,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.03
,200,0.175,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18
,225,0.202,0.19,0.19,0.26,0.19,0.19,0.2,0.2,0.19,0.2,0.21
