col,row
408.64,574.17
411,573.22
523.95,552.43
539.07,551.01
538.6,563.77
579.24,557.15
594.84,538.72
584.92,531.16
630.28,525.02
579.72,479.17
578.3,459.33
588.7,445.62
566.01,461.22
588.22,581.73
593.42,581.73
1319,335.84
1334.8,382.25
1339.7,381.6
560.81,539.67
654.39,441.37
654.39,450.35
672.35,471.61
700.23,426.72
704.48,421.05
730.95,440.42
734.73,417.27
652.97,513.2
644.93,508.95
647.77,515.56
651.55,525.49
665.73,554.32
664.78,559.52
658.17,557.63
658.17,552.43
657.22,562.35
682.74,534.47
695.97,535.89
702.12,563.77
727.17,572.28
821.68,565.66
857.6,541.08
882.65,575.58
920.46,479.65
881.7,471.61
881.7,476.81
913.37,405.45
894.46,400.25
850.04,466.89
841.06,467.36
832.55,489.1
823.1,442.31
838.23,427.19
806.56,403.56
789.55,438.53
770.17,478.23
790.97,518.4
807.51,525.96
772.06,523.6
743.23,522.18
910.06,442.79
793.8,533.52
800.89,536.83
758.36,549.59
781.99,581.73
681.32,439.95
1015.9,402.14
1012.6,447.98
1062.2,421.52
1069.8,427.19
1073.6,440.89
1069.8,455.55
1096.7,449.4
1095.3,465.94
1091.1,463.58
1222.9,454.6
1262.1,416.79
1257.4,429.55
1256.9,525.49
1211.1,550.54
1215.8,548.65
1230,563.77
1190.3,522.65
1171.4,502.8
1215.4,470.67
1261.7,483.9
1107.1,489.1
1114.7,505.64
1106.2,518.87
1096.3,496.66
1089.2,510.84
1090.1,517.45
1123.7,553.84
1132.2,574.64
1054.7,547.7
1049.9,540.14
1003.6,548.17
1091.1,535.41
1096.7,536.36
1066.5,495.24
1065.1,487.21
1150.6,556.21
1375.7,439.93
1354.2,426.4
1349.6,395.14
1325.5,390.95
1320.6,430.27
1289.7,422.53
1288.4,436.71
1299.4,460.88
1322.9,476.35
1322.6,471.19
1311.6,491.5
1351.6,488.92
1343.5,464.75
1330,461.52
1333.5,454.76
1386.1,544.02
1380.3,541.12
1388,567.55
1384.8,575.93
341.06,723.74
494.65,765.33
498.43,743.59
548.53,745.01
564.12,747.84
569.32,727.05
562.7,722.32
574.99,692.55
626.5,684.99
599.57,627.81
598.62,613.16
610.91,626.39
605.24,620.72
620.83,609.85
608.55,596.61
602.87,588.58
593.42,591.89
587.75,595.2
550.89,615.99
522.06,624.97
505.52,615.52
514.97,609.37
511.66,606.07
472.44,586.69
486.62,634.89
494.18,638.2
473.86,702
501.74,643.4
656.75,595.2
783.88,764.86
652.97,640.09
644.46,756.35
667.15,755.41
707.79,761.55
785.29,760.6
842.95,743.12
875.09,719.49
877.92,713.82
902.03,715.71
924.24,746.9
876.03,767.22
845.79,623.08
822.63,637.73
819.79,630.64
812.23,636.79
824.99,589.53
834.44,641.98
833.97,654.74
831.61,657.11
822.63,656.16
810.34,657.58
816.01,663.25
805.14,665.61
799.47,686.88
796.64,643.4
778.68,627.33
778.68,610.32
777.26,605.12
772.06,587.64
766.86,615.05
750.32,643.4
721.97,641.04
709.68,624.97
699.76,609.37
700.23,603.7
682.27,611.27
946.45,631.11
804.2,738.87
832.55,708.15
836.81,704.37
962.52,627.81
964.88,635.84
971.5,665.14
1025.8,658.52
1026.8,645.76
1030.6,641.51
1032,637.73
1096.7,592.36
1095.8,643.4
1137.8,607.01
1136.9,593.31
1144.5,584.33
1154.4,647.18
1138.3,670.34
1104.8,684.99
1063.2,701.06
1028.2,774.31
1140.7,740.28
1157.2,748.32
1179,731.3
1152,710.04
1153,675.54
1188.4,642.93
1196.9,675.07
1198.8,668.45
1195.5,718.07
1142.1,773.36
1209.7,774.78
1251.3,740.76
1268.3,719.02
1232.8,602.29
1379.6,743.18
1357.7,740.6
1309,738.99
1302,753.17
1292.9,752.2
1328.7,692.26
1331,674.54
1369,658.43
1366.4,637.16
1329.3,608.48
1332.6,585.92
1298.1,602.03
1299.7,604.93
1302,626.2
535.29,914.91
462.51,878.04
479.53,907.35
572.16,828.42
623.67,817.55
618.47,798.18
503.63,784.47
555.14,832.68
612.8,923.41
554.67,938.54
652.97,797.7
662.89,804.32
703.06,803.37
708.73,828.89
745.12,799.12
731.42,796.76
797.11,803.37
817.9,800.07
849.09,788.25
876.98,796.76
884.54,803.37
911.48,808.1
879.34,784.47
865.16,778.33
861.38,801.48
836.33,799.59
829.72,807.16
855.71,827
915.26,844.49
915.73,848.27
911.48,850.63
910.53,909.24
897.77,923.89
890.21,931.45
880.76,910.18
840.59,933.34
809.87,936.65
819.79,946.57
828.77,947.99
818.85,957.44
813.65,950.82
808.92,958.39
811.29,965
758.83,934.76
730,942.79
714.88,894.11
675.65,890.33
660.53,947.99
750.8,848.27
762.14,870.96
786.24,873.79
796.64,863.87
793.8,859.14
730.95,830.79
1174.7,844.49
1165.7,836.93
1160.5,854.89
1157.2,820.39
1186.1,822.75
1183.7,814.72
1158.2,807.63
1150.1,801.96
1144,793.45
1172.8,784.94
1189.4,779.75
1201.2,779.75
1203.1,804.79
1215.4,849.69
1179.4,918.69
1160.1,899.78
1152.5,902.62
1144.9,905.93
1133.6,909.71
1150.1,919.16
1153.9,912.54
1153.9,923.41
1200.2,956.49
1121.3,874.26
1127.9,872.85
1088.2,869.54
1093.9,834.57
1125.1,822.75
1084.4,814.72
1081.1,803.85
1040,788.72
1026.3,786.36
1021.6,801.96
991.35,785.42
1010.7,887.02
1015.9,923.41
991.35,897.42
976.69,888.91
991.35,916.8
1303.6,838.25
1311.3,908.82
1316.5,902.7
1335.1,956.84
1333.2,969.73
1380.3,835.99
1379.6,810.85
1388.3,801.83
278.2,1031.4
424.23,1020.1
369.89,995.03
553.72,985.11
575.94,982.74
600.98,995.98
593.89,992.2
627.45,1001.6
564.59,987.47
926.13,1037.6
906.75,1000.2
949.76,971.87
855.71,984.16
859.02,1013.9
837.28,1010.6
838.23,1003.5
823.57,995.98
810.34,1002.6
805.62,983.69
797.11,972.35
828.3,1040.4
746.07,1022.4
666.2,1014.4
654.86,1021.5
701.17,1042.8
968.66,1002.6
962.04,1033.8
1024.9,1018.7
1069.8,983.69
1071.7,973.76
1098.2,987
1080.7,995.98
1081.6,1019.1
1164.8,1043.7
1229.5,1031.9
1270.6,1027.2
1275.8,995.5
1342.6,979.7
1302.7,1012.1
1302.9,1032.1
1282,1029
1287.7,1026.1
1369.1,994.06
1385,984.26
